"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年3月28日","18.10","17.75","18.20","17.67","3.84M","2.20%"
"2019年3月27日","17.71","17.71","17.98","17.50","5.44M","0.06%"
"2019年3月26日","17.70","17.65","17.90","17.61","2.69M","0.63%"
"2019年3月25日","17.59","17.11","17.81","17.05","1.90M","2.21%"
"2019年3月22日","17.21","17.60","17.69","17.20","4.25M","-2.82%"
"2019年3月21日","17.71","17.77","18.06","17.55","4.73M","-0.23%"
"2019年3月20日","17.75","18.62","18.65","17.72","5.21M","-4.83%"
"2019年3月19日","18.65","18.57","19.00","18.45","3.48M","0.81%"
"2019年3月18日","18.50","18.91","18.95","18.37","2.30M","-1.12%"
"2019年3月15日","18.71","18.59","18.83","18.50","2.18M","1.14%"
"2019年3月14日","18.50","18.30","18.60","18.18","1.64M","1.65%"
"2019年3月13日","18.20","18.90","19.10","18.18","3.83M","-3.70%"
"2019年3月12日","18.90","18.71","19.26","18.63","3.30M","1.61%"
"2019年3月11日","18.60","18.12","18.62","17.97","4.64M","3.68%"
"2019年3月8日","17.94","17.21","18.20","17.15","3.44M","0.79%"
"2019年3月7日","17.80","18.40","18.60","17.67","3.95M","-4.61%"
"2019年3月6日","18.66","19.00","19.13","18.52","4.30M","-2.51%"
"2019年3月5日","19.14","18.66","19.32","18.27","4.53M","1.70%"
"2019年3月4日","18.82","17.63","19.00","17.57","10.39M","4.67%"
"2019年3月1日","17.98","19.11","19.20","17.92","9.82M","-5.27%"
"2019年2月28日","18.98","20.90","21.50","18.54","17.47M","-4.43%"
"2019年2月27日","19.86","19.99","20.05","19.43","5.96M","0.66%"
"2019年2月26日","19.73","19.67","19.98","19.05","4.51M","-2.62%"
"2019年2月25日","20.26","20.50","21.00","19.56","8.69M","4.00%"
"2019年2月22日","19.48","18.45","19.55","18.42","7.64M","7.39%"
"2019年2月21日","18.14","18.46","18.68","17.93","3.02M","-0.93%"
"2019年2月20日","18.31","18.03","18.75","18.02","5.23M","2.87%"
"2019年2月19日","17.80","17.81","18.22","17.77","3.31M","0.34%"
"2019年2月15日","17.74","18.50","18.51","17.72","6.52M","-6.24%"
"2019年2月14日","18.92","18.82","19.20","18.38","6.91M","3.96%"
"2019年2月13日","18.20","18.11","18.50","17.96","2.50M","1.90%"
"2019年2月12日","17.86","17.51","18.21","17.51","3.91M","3.30%"
"2019年2月11日","17.29","17.82","17.95","17.15","2.37M","-0.97%"
"2019年2月8日","17.46","16.99","17.65","16.43","1.70M","1.63%"
"2019年2月7日","17.18","17.99","18.06","16.99","4.05M","-5.66%"
"2019年2月6日","18.21","18.19","18.48","18.07","2.87M","0.00%"
"2019年2月5日","18.21","17.76","18.43","17.66","2.06M","2.88%"
"2019年2月4日","17.70","17.89","18.05","17.47","2.42M","-0.73%"
"2019年2月1日","17.83","18.30","18.61","17.75","3.08M","-3.15%"
"2019年1月31日","18.41","18.28","18.46","17.96","5.10M","3.66%"
"2019年1月30日","17.76","18.19","18.30","17.68","2.81M","-0.45%"
"2019年1月29日","17.84","17.99","18.38","17.67","6.34M","-0.78%"
"2019年1月28日","17.98","17.14","18.16","16.80","4.10M","3.10%"
"2019年1月25日","17.44","17.22","17.50","16.97","3.76M","3.26%"
"2019年1月24日","16.89","16.09","17.18","16.00","4.38M","5.89%"
"2019年1月23日","15.95","16.19","16.37","15.84","3.08M","0.13%"
"2019年1月22日","15.93","16.16","16.19","15.75","4.49M","-4.67%"
"2019年1月18日","16.71","16.86","17.09","16.60","3.64M","1.09%"
"2019年1月17日","16.53","15.90","16.82","15.75","3.89M","3.12%"
"2019年1月16日","16.03","15.77","16.15","15.56","4.32M","3.35%"
"2019年1月15日","15.51","15.33","15.80","15.23","3.14M","2.99%"
"2019年1月14日","15.06","15.20","15.37","14.71","2.39M","-1.95%"
"2019年1月11日","15.36","16.02","16.09","15.29","4.05M","-5.54%"
"2019年1月10日","16.26","15.40","16.60","15.30","5.97M","3.24%"
"2019年1月9日","15.75","14.04","16.37","14.01","7.95M","6.56%"
"2019年1月8日","14.78","14.52","15.10","14.40","4.80M","3.57%"
"2019年1月7日","14.27","13.94","14.37","13.74","2.36M","4.16%"
"2019年1月4日","13.70","13.45","13.89","13.40","2.97M","5.79%"
"2019年1月3日","12.95","14.19","14.20","12.85","5.04M","-9.31%"
"2019年1月2日","14.28","14.00","14.63","13.98","1.90M","-2.12%"
